inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type,,,,,,,,,,,,
12ca8DNoxivQiS4XicM2GDP6KHLqHtLGhp,1ByhZFFLmWVfP8JzjmUXsNeMGWLYbkqtsx,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1.1189591,0.35602397,0.76221272,2.1409028161783596 : 1,2017-06-30 10:44,72241,P2PKH,,,,,,,,,,,,
19gPghRYfwHBAXqPC4LdiqSoJiuuNCKvJP,1MpKejmwFAUL4f76EghwkLH39KctAugcRu,1BnvDdPNtX1rfKnqMjeCc44oiBqWDKaQMC,0.989,0.17616797,0.81249289,4.612035263845068 : 1,2017-09-12 15:38,33914,P2PKH,,,,,,,,,,,,
1HxXzcqDvifwS216KgBReCC41isZZoD7bE,1KeGYAMrmjs7EVP9equx8XdFxNFUcYQBSa,14qXJ1exPoowJgSXFkxonJJ1jMJfjSrX75,84.48345001,84.47277201,0.01,8447.277200999999 : 1,2017-09-01 9:45,67800,P2PKH,,,,,,,,,,,,
1BNW8NoaUo1CbqLAUvZU4nozREjaoV23vS,1CRLhYSnXYuCDakx78CfKnere8NAksbZqR,1HrveLHeQZhgtAW5mqdmiNZjQFFxqTzLwn,84.65349985,84.64518055,0.0076413,11077.327228351198 : 1,2017-08-31 16:04,67800,P2PKH,,,,,,,,,,,,
1Pc5Sy5CxwVzkmn4xDRcPmriBGog8gyC1x,1Hsj9oZniX4LikLTaTWKmc8Bm63tcnxcQY,1HmYjf2m76GmXXpQ4FuTpis3kbgfwp3cyR,3.92643433,0.64167577,3.28409407,5.1179960714427475 : 1,2017-07-05 14:33,66449,P2PKH,,,,,,,,,,,,
12L371NEwKBQUzBkur1h51t9KYBbcKky6y,1tPgThkWQoQXjj4Swc8njBh3Jh2fuPN1p,1LscR6Wqon7j9UnFvik6ZN2EdnunezxBQP,159.7522398,155.3952222,4.3563396,35.67105333569495 : 1,2017-07-16 11:37,67800,P2PKH,,,,,,,,,,,,
1Mpymwp78t99Sowd8btmXDpdy2daWPcZzp,1A9Jz6eu3JBS5sEencZhfDhKXBVzEAoPh4,19WEnH4n7st3dGAjkJ5pdYUUwBntaCd5L2,3.89492648,1.82724407,2.06695673,1.131188090269736 : 1,2017-07-08 0:58,72568,P2PKH,,,,,,,,,,,,
1FdBWSw42seqoh9sRy2pse46oWQjYSmRav,1LnCCwQBSvw5PQquT9ijPTrDGYD9orXZC3,16R331VBtfvCH3EJ62E2cdyQ8pYPmhy2jk,1.76489276,0.70386522,1.06061899,1.5068495499749228 : 1,2017-07-26 10:40,40855,P2PKH,,,,,,,,,,,,
12oniCXwcg2dQLBMcWUdk9yB4uMTTSBZ3E,12U9h3rSGkEeRmCb3mshRJKJfAsfyd7xfb,1LhNMzSx76t3C6YA5ai8nSwbi5eerPdcB7,4.29186392,1.42618661,2.86507581,2.008906681573739 : 1,2017-07-14 11:25,60150,P2PKH,,,,,,,,,,,,
14od7QS135vt4cgSsUHb9aextF8nya2Mwv,115KXe5saJ1nUjAtcqJw5fHyLAqzNJDzFi,1EfXN6ZftJBzaFfNeJtkam2vBPyrGqBmPJ,4.1,0.13054241,3.9687958,30.402348171755065 : 1,2017-07-11 0:32,66179,P2PKH,,,,,,,,,,,,
31vGod8YCU439esEq6zkGfQyGXknbsKLw2,3JDh7Rse9vKeJXPq6wYSRrnRYjgfMBfrMJ,3GYa9fxKvD6bXibA6RbXrGorPg9biPwnnf,0.322571,0.282285,0.03979606,7.093290139777657 : 1,2017-08-10 13:49,48994,P2SH,,,,,,,,,,,,
18ngZLzv73cyMFHdpSiwfaRmvhbNyqgwPB,12hxhP6GWKgaEpVyMGtyewpoYZihh12dU7,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,1.71765683,0.38177248,1.33522553,3.497437871896895 : 1,2017-07-04 17:17,65882,P2PKH,,,,,,,,,,,,
1QF8Eht61pGHGVmp4TXLREMwQmo2svZXGq,1DiyFhVWk77vWo2eehyAwwF2CSUSBKtXF7,1HiDWnwVBe3Gz3HeqSWkZCrkj4GhmDfjYd,2.2569401,0.28099574,1.97540025,7.030000703925263 : 1,2017-07-16 22:15,54411,P2PKH,,,,,,,,,,,,
1CGwKSqa5GSvaBuobyqW2THxVcTFVefKY2,1J7KgSBrTDTDLbQp1cgLgFhrJtN2PV3rmR,1G7zVce2RT2CwLTaroh7EUNBBpJL2VzsnG,85.66844135,6.56823774,79.09952561,12.042731816525265 : 1,2017-09-01 20:24,67800,P2PKH,,,,,,,,,,,,
186JPsBnLZtaPCviw9rDcYNkVzb1A2dJjU,13ttTbyx3y6rvqvMVmkhVvwJ7uTxr9vZym,16fp2mdCYch4DF6r7814caueegDpvpEivC,1.0074,0.03930922,0.96754112,24.613592434548437 : 1,2017-09-06 0:41,54966,P2PKH,,,,,,,,,,,,
193Jw29ULEM5g9dB3y7kugzUKWhnRMnLq9,1HiDWnwVBe3Gz3HeqSWkZCrkj4GhmDfjYd,142Rm9V2z9MCsFCdj2a1BNTZ2n4F7cwx2x,3.99547712,1.24889758,2.74613062,2.198843735448667 : 1,2017-07-10 17:07,44892,P2PKH,,,,,,,,,,,,
1BijRdvT9WuWWY6ZBQsGFJDsQBJ9aYpnjF,18vMDSW7JK42D3NFj4drar1kHFMJNBLKQK,12kFvcSX6x8JWya3WiwLJnUe4bKPJAcTCh,0.39628915,0.09779821,0.29776832,3.044721575169934 : 1,2017-06-30 20:43,72262,P2PKH,,,,,,,,,,,,
