inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
1C2Srud7UctV15v2XwQW2WskZDspw9yj5U,3QGNAcdgNk8bJUaPERj2PMR18xP8yhv5Yo,1GPtW15onQNR5wbaEWarCQWDGSGvFpt5vH,1.75100683,0.19626414,1.55402716,7.9180392301925355 : 1,2017-06-29 19:00:50,71553,P2PKH
1Fa2m1YytUyw5k3evvAxJAsJ3sVn7fZdXD,161E47s2WAMsiAiecxvL2oRWk3Q4Zt9Bkc,19NUzYBjcEiVWL2xgi4E5tgWYdg1fEk1cq,4.25470358,0.23986978,4.01428752,16.73527828307509 : 1,2017-07-12 10:24:47,54628,P2PKH
1K5ADBeDWhfkXTHvwRY3X4mC29v1i1tUrE,1MiR9uZWEuPK7vHWoBUaw59kFTK4LST2wK,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,4.15650056,1.65849031,2.49747131,1.5058703056275318 : 1,2017-07-13 14:13:51,53894,P2PKH
13AsNAfKyYGF5V5Fs7mRmXogZX1Xzzkptu,13Gn3yhboigaMSVzfqBEeWor9nswSnc1wD,1C3pA2vC71d9hVt4KKW3axW2gVVc5MnCez,427.18844362,423.21276562,3.975,106.468620281761 : 1,2017-07-23 15:35:10,67800,P2PKH
1Gae5AdM6FgNUnmUPVwi6oPh3arjJLyL1W,13ENuLG5knYibpzQNzXA5xh8vAWsvakedy,1GwzgiQnQtaJ8Zt81RpC17DxJQHnk8ZTdp,2.15179127,0.98610189,1.1649637,1.181382686529482 : 1,2017-07-07 23:10:26,72568,P2PKH
199nu6sqVCVXEobHMGw3N6wX5jydanUvQp,3AVVjrQKd94ezPhUp3YNLi2ZH9LBQr8BWT,1FwTgJDccLXPmzkq9kpQiEqPDZEQ5L43EW,0.38983341,0.15947459,0.22964156,1.4399884019140603 : 1,2017-07-01 16:53:56,71726,P2PKH
17YFn8hYY5c7LHrcWtSpg9CgWyZ7vRDi4w,1BQPu6RpZ6Sm9NB4Yf51fDybC1nsV6uomm,1AvACfqr8k3fYxH7YynRXhpBX5oBZ5Avwo,1.93102041,1.5645,0.36584241,4.276431483162381 : 1,2017-08-30 17:33:46,67800,P2PKH
1EXSFjCPqtLPXWuqhxfWLZ5P2TfqtT2Doy,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1BrWaM4iKdpPDpugcmKQL6tMQwxcjgvG46,1.88308978,0.22151315,1.66085243,7.497759974972141 : 1,2017-07-02 17:17:36,72420,P2PKH
1Nv8LxDGgWeEUxnekbGi2BEZzP8hL9pAUg,15aFEdJqzV14aa2vj1hPKajcVCYSamMhxt,1JWVeRRM5MXpyKkjxMFvAc9egr9iJWzuZ5,0.2,0.016,0.18369021,11.480638124999999 : 1,2017-09-18 18:25:11,30979,P2PKH
1KjmpPriZEHiyuYKUvt1P6MRtW7UVwikvS,13sQQHGqSKKynLHSQkHuNv8Q4qNmPcR9g1,1Lk5HPQjyDYQ2s8PhzRJHx6ChoAbmTsqau,4.12723439,1.30190142,2.82473184,2.169697180298029 : 1,2017-07-11 11:28:09,60113,P2PKH
1pwucRDs1q2v8DphZ4ysZm91qZSs3PHX4,1PxY9bRcxbuLosrJBKpBF8ahaJgp5D2fwY,1Kpgx9WaJgvdC2LBYQJ8nag22FWgEcKx6i,1.78713265,0.14909647,1.63737417,10.981978111218863 : 1,2017-07-08 15:40:21,66201,P2PKH
17c2unuGmY5LWMoNVqF6u4owmHjWHu5o5Q,12hRa9nKMzvDXdcQVaaV4f8b9gyELb9v27,31hj42nThKuu7ftkjio1cHYfAHwZjCuk1x,4.01028237,2.00298413,2.00670238,1.0018563551973825 : 1,2017-07-10 11:33:26,59586,P2PKH
15v2d3KgQ7RyToP3YX95DrgvvHmo6CvKg6,1CAvdMcttJmY8nR21SvRVRYtXHtepWUXkL,1AaN61PcFtm6bqwpJ2zTAVEKGD1nBPWQzm,1.63430145,0.53454544,1.09895889,2.055875530431987 : 1,2017-07-25 15:59:50,79712,P2PKH
1NSet7dx6rn9xrXSdn9zxEjmt7AB5Q9Qia,174xDhEjkyWyHCsz2TMf4gZ6PrQ4BVgu4Y,1LM55w4b3ZSURG5QSEsH3wcctfGNGL2SM6,13.59865827,1.05667195,12.54173348,11.869089058340197 : 1,2017-07-18 16:41:11,25284,P2PKH
19BjGUY9cAk6Yrfr4PhEo3qb7cYNrCVLAW,19WEnH4n7st3dGAjkJ5pdYUUwBntaCd5L2,1BVqqYnyt5KYDmUibjX4K8n8rHR8j5Eije,4.0402408,1.06319221,2.97638658,2.799481177537973 : 1,2017-07-08 22:47:46,66201,P2PKH
